Date,Close,Change,Momentum
2015-09-03,29.08,0.0,0
2015-09-04,28.52,0.019257221458046724,-1
2015-09-08,29.5,0.03436185133239833,1
2015-09-09,29.24,0.008813559322033952,-1
2015-09-10,29.27,0.0010259917920657025,1
2015-09-11,29.469998999999998,0.006832900580799394,1
2015-09-14,29.389999,0.0027146251345308257,-1
2015-09-15,29.73,0.011568595153746038,1
2015-09-16,29.77,0.0013454423141607517,1
2015-09-17,29.709999,0.0020154853879744625,-1
2015-09-18,29.02,0.023224470657168324,-1
2015-09-21,29.16,0.004824259131633376,1
2015-09-22,28.67,0.016803840877914897,-1
2015-09-23,28.74,0.0024415765608649014,1
2015-09-24,28.48,0.009046624913013153,-1
2015-09-25,28.809998999999998,0.011587043539325747,1
2015-09-28,28.76,0.0017354738540600481,-1
2015-09-29,29.24,0.016689847009735633,1
2015-09-30,30.139999,0.03077971956224354,1
2015-10-01,30.0,0.004644957022062262,-1
2015-10-02,30.51,0.017000000000000053,1
2015-10-05,31.209999,0.022943264503441436,1
2015-10-06,31.74,0.016981769208002814,1
2015-10-07,32.32,0.018273471959672397,1
2015-10-08,32.52,0.006188118811881276,1
2015-10-09,32.139998999999996,0.011685147601476233,-1
2015-10-12,32.209998999999996,0.0021779714429984985,1
2015-10-13,32.040001000000004,0.005277802088723833,-1
2015-10-14,32.799999,0.023720286400739997,1
2015-10-15,32.75,0.0015243598025719356,-1
2015-10-16,33.040001000000004,0.008854992366412328,1
2015-10-19,33.59,0.016646458333944954,1
2015-10-20,33.439999,0.004465644537064696,-1
2015-10-21,33.369999,0.002093301498005436,-1
2015-10-22,34.400002,0.030866138173992773,1
2015-10-23,34.900002,0.014534882875878903,1
2015-10-26,34.59,0.008882578287531251,-1
2015-10-27,34.470001,0.0034691818444637164,-1
2015-10-28,34.709998999999996,0.006962517929720768,1
2015-10-29,34.029999,0.019590896559806868,-1
2015-10-30,33.860001000000004,0.0049955334997216,-1
2015-11-02,34.110001000000004,0.007383342959735883,1
2015-11-03,34.310001,0.005863383000193865,1
2015-11-04,34.150002,0.004663334168949721,-1
2015-11-05,34.0,0.004392444837924186,-1
2015-11-06,33.84,0.004705882352941076,-1
2015-11-09,33.349998,0.01447996453900721,-1
2015-11-10,33.209998999999996,0.0041978713162142646,-1
2015-11-11,32.860001000000004,0.010538934373349192,-1
2015-11-12,32.400002,0.013998751856398402,-1
2015-11-13,32.110001000000004,0.008950647595638933,-1
2015-11-16,32.099998,0.0003115228803638046,-1
2015-11-17,32.639998999999996,0.016822462107318407,1
2015-11-18,33.16,0.015931403674369005,1
2015-11-19,34.299999,0.034378739445114694,1
2015-11-20,34.66,0.010495656282672105,1
2015-11-23,34.48,0.005193306405077892,-1
2015-11-24,34.360001000000004,0.0034802494199533897,-1
2015-11-25,34.450001,0.002619324720042828,1
2015-11-27,34.459998999999996,0.00029021769839704663,1
2015-11-30,34.77,0.008995966598838464,1
2015-12-01,35.09,0.009203336209375907,1
2015-12-02,34.830002,0.007409461385010061,-1
2015-12-03,34.040001000000004,0.022681623733469686,-1
2015-12-04,34.939999,0.02643942343009909,1
2015-12-07,34.990002000000004,0.0014311105160593677,1
2015-12-08,34.75,0.006859159367867541,-1
2015-12-09,34.810001,0.0017266474820143813,1
2015-12-10,34.77,0.0011491237819842815,-1
2015-12-11,34.27,0.01438021282714984,-1
2015-12-14,34.470001,0.0058360373504523,1
2015-12-15,35.18,0.020597591511529,1
2015-12-16,35.299999,0.0034110005685048313,1
2015-12-17,34.91,0.011048130624593023,-1
2015-12-18,33.869999,0.029790919507304402,-1
2015-12-21,34.240002000000004,0.010924210538063615,1
2015-12-22,34.73,0.01431068841643154,1
2015-12-23,35.0,0.007774258566081289,1
2015-12-24,34.98,0.0005714285714286607,-1
