Date,Close,Change,Momentum
2015-09-03,12.77475,0.0,0
2015-09-04,12.257039,0.04052611597095822,-1
2015-09-08,12.529519,0.022230491393557598,1
2015-09-09,12.379655,0.011960874156462102,-1
2015-09-10,12.411444,0.002567842157152186,1
2015-09-11,12.3297,0.006586179658063857,-1
2015-09-14,12.279746000000001,0.004051517879591523,-1
2015-09-15,12.311535000000001,0.002588734327240958,1
2015-09-16,12.929155,0.05016596224597491,1
2015-09-17,12.520436,0.03161219739418389,-1
2015-09-18,12.052679,0.03735948173050848,-1
2015-09-21,12.007266,0.0037678760049944023,-1
2015-09-22,11.648501,0.029878991603917163,-1
2015-09-23,11.57584,0.006237798322719815,-1
2015-09-24,11.47139,0.009023103290992268,-1
2015-09-25,11.357857000000001,0.009897056939045622,-1
2015-09-28,11.158038000000001,0.017593019528243728,-1
2015-09-29,11.194367999999999,0.0032559487608841042,1
2015-09-30,11.630336,0.0389452982070985,1
2015-10-01,11.512261,0.010152329219035397,-1
2015-10-02,11.839236999999999,0.028402413739577165,1
2015-10-05,12.343325,0.04257774381913305,1
2015-10-06,12.715713000000001,0.030169180508493525,1
2015-10-07,12.720253999999999,0.0003571172139539409,1
2015-10-08,13.25159,0.04177086400947665,1
2015-10-09,13.306085999999999,0.004112412170916738,1
2015-10-12,13.306085999999999,0.0,-1
2015-10-13,13.274296,0.0023891323113347605,-1
2015-10-14,13.360581,0.006500156392474612,1
2015-10-15,13.065395,0.02209379966335291,-1
2015-10-16,13.106266999999999,0.0031282636307588454,1
2015-10-19,13.160763000000001,0.004158010820319935,1
2015-10-20,12.970027,0.014492776748582214,-1
2015-10-21,12.820164,0.011554563456190173,-1
2015-10-22,13.065395,0.01912853844927416,1
2015-10-23,13.183470000000002,0.009037231557101873,1
2015-10-26,12.747502,0.03306929055855558,-1
2015-10-27,12.46594,0.022087621559110246,-1
2015-10-28,12.706631,0.019307890139050887,1
2015-10-29,12.429609,0.021801372842258547,-1
2015-10-30,12.243414999999999,0.014979875875419768,-1
2015-11-02,13.83,0.12958680237499107,1
2015-11-03,14.29,0.033261026753434494,1
2015-11-04,14.14,0.010496850944716486,-1
2015-11-05,14.05,0.006364922206506355,-1
2015-11-06,14.01,0.0028469750889680372,-1
2015-11-09,13.87,0.009992862241256286,-1
2015-11-10,14.12,0.018024513338139873,1
2015-11-11,13.92,0.014164305949008449,-1
2015-11-12,13.31,0.04382183908045973,-1
2015-11-13,13.11,0.015026296018031635,-1
2015-11-16,13.35,0.018306636155606425,1
2015-11-17,13.28,0.005243445692883916,-1
2015-11-18,13.64,0.02710843373493985,1
2015-11-19,13.79,0.010997067448680247,1
2015-11-20,14.06,0.019579405366207496,1
2015-11-23,14.23,0.012091038406827875,1
2015-11-24,14.64,0.02881236823612088,1
2015-11-25,12.64,0.13661202185792348,-1
2015-11-27,12.61,0.002373417721519077,-1
2015-11-30,12.54,0.005551149881046811,-1
2015-12-01,12.74,0.015948963317384456,1
2015-12-02,11.95,0.06200941915227637,-1
2015-12-03,12.15,0.016736401673640256,1
2015-12-04,12.32,0.013991769547325096,1
2015-12-07,12.15,0.013798701298701293,-1
2015-12-08,12.19,0.0032921810699587774,1
2015-12-09,12.11,0.006562756357670228,-1
2015-12-10,12.36,0.02064409578860446,1
2015-12-11,12.21,0.012135922330096973,-1
2015-12-14,12.16,0.004095004095004153,-1
2015-12-15,12.21,0.004111842105263217,1
2015-12-16,12.26,0.0040950040950040074,1
2015-12-17,11.9,0.029363784665579075,-1
2015-12-18,11.51,0.03277310924369753,-1
2015-12-21,11.43,0.0069504778453518745,-1
2015-12-22,11.66,0.020122484689413862,1
2015-12-23,11.75,0.007718696397941669,1
2015-12-24,11.73,0.0017021276595744319,-1
2015-12-28,11.63,0.008525149190110796,-1
2015-12-29,11.86,0.019776440240756546,1
2015-12-30,11.84,0.0016863406408094076,-1
2015-12-31,11.84,0.0,-1
2016-01-04,11.6,0.02027027027027029,-1
2016-01-05,11.71,0.009482758620689759,1
2016-01-06,11.29,0.03586678052946214,-1
2016-01-07,10.77,0.04605845881310891,-1
2016-01-08,10.58,0.017641597028783613,-1
2016-01-11,10.65,0.006616257088846908,1
2016-01-12,10.82,0.015962441314553984,1
2016-01-13,10.58,0.022181146025878024,-1
2016-01-14,10.62,0.0037807183364838514,1
2016-01-15,10.11,0.04802259887005648,-1
2016-01-19,9.76,0.034619188921859514,-1
2016-01-20,9.55,0.021516393442622857,-1
2016-01-21,9.94,0.0408376963350784,1
2016-01-22,9.8,0.0140845070422534,-1
2016-01-25,9.49,0.031632653061224536,-1
2016-01-26,9.64,0.01580611169652269,1
2016-01-27,9.62,0.002074688796680638,-1
2016-01-28,9.48,0.014553014553014429,-1
2016-01-29,9.71,0.02426160337552747,1
2016-02-01,9.97,0.026776519052523148,1
2016-02-02,9.88,0.009027081243731179,-1
2016-02-03,9.65,0.02327935222672069,-1
2016-02-04,9.86,0.021761658031087986,1
2016-02-05,9.91,0.005070993914807375,1
2016-02-08,9.37,0.054490413723511696,-1
2016-02-09,9.19,0.019210245464247568,-1
2016-02-10,9.28,0.009793253536452651,1
2016-02-11,9.02,0.028017241379310324,-1
2016-02-12,9.42,0.04434589800443463,1
2016-02-16,9.81,0.04140127388535038,1
2016-02-17,10.08,0.02752293577981647,1
2016-02-18,10.52,0.0436507936507936,1
2016-02-19,10.32,0.019011406844106397,-1
2016-02-22,10.68,0.0348837209302325,1
2016-02-23,10.31,0.03464419475655423,-1
2016-02-24,10.82,0.04946653734238601,1
2016-02-25,10.34,0.04436229205175605,-1
2016-02-26,10.64,0.029013539651837592,1
2016-02-29,10.69,0.004699248120300652,1
2016-03-01,10.93,0.02245088868101031,1
2016-03-02,10.9,0.002744739249771213,-1
2016-03-03,11.11,0.019266055045871474,1
2016-03-04,11.18,0.0063006300630063265,1
2016-03-07,11.31,0.011627906976744257,1
2016-03-08,11.05,0.022988505747126416,-1
2016-03-09,11.36,0.02805429864253382,1
2016-03-10,11.42,0.0052816901408451146,1
2016-03-11,11.7,0.02451838879159364,1
2016-03-14,11.47,0.019658119658119543,-1
2016-03-15,11.4,0.00610287707061903,-1
